Name,glon,glat,θ,EMff,EMff_err,τ250,τ250_err,Td,Td_err,βd,βd_err,ΔTCMB,ΔTCMB_err,Asp,Asp_err,σAME,νsp,νsp_err,fUCH_max,G0,G0_err,S_28.4_resid,S_28.4_resid_err,S_28.4_resid/S_100um,S_28.4_resid/S_100um_err,Chi^2
G004.24+18.09,4.24,18.09,2,1,1.8,1,0.1,17.1,10.3,1.7,0.05,-16,1,6.2,0.4,15.6,29,0.9,0,0.88,0.09,5.3,0.7,16.2,3.4,1.35
G005.40+36.50,5.4,36.5,1.5,0.9,1.5,2.5,0.3,14,10.3,1.99,0.06,40,2,2.1,0.1,18.7,25.9,2.3,0,0.27,0.04,1.7,0.3,8,1.9,1.09
G008.51-00.31,8.51,-0.31,2,1338,13643,30,34.7,19.1,10.7,2.02,0.08,198,220,54,28,1.9,,,,1.7,0.3,46,54,1.3,1.5,0.16
G010.19-00.32,10.19,-0.32,1.2,2067,20502,37.8,35.1,19.7,10.6,2.05,0.07,335,189,80,23,3.4,26,2.1,1.01,2,0.4,67,42,1.1,0.7,0.25
G012.80-00.19,12.8,-0.19,1.7,2414,24473,46.4,413.5,19.5,11.2,2.03,0.1,344,230,85,31,2.7,26,2.2,0.47,1.9,0.7,71,39,1,0.6,0.14
G015.06-00.69,15.06,-0.69,0.4,7472,74506,29.5,23.4,20.6,20.5,2.1,0.11,533,251,77,40,1.9,,,,2.6,0.4,60,44,0.9,0.7,0.22
G017.00+00.85,17,0.85,0.6,869,8130,22.3,210.8,18.2,11.6,2.08,0.18,75,109,68,12,5.3,35,6.2,0.03,1.3,0.7,58,18,3.2,1.3,0.87
G023.47+08.19,23.47,8.19,1.5,1.6,1,4.8,0.5,13.9,10.2,1.97,0.07,33,4,4.2,0.5,8.5,23,5.7,0,0.26,0.02,3.2,0.6,9.8,2.5,1.38
G028.79+03.49,28.79,3.49,0.3,512,538,3.3,0.2,22.9,20.3,1.49,0.05,-100,-27,0.6,3,0.2,,,,5.1,0.4,-0.7,-3.8,-0.1,-0.4,1.77
G030.77-00.03,30.77,-0.03,1.1,4730,47255,46.2,43.3,21.4,20.3,1.93,0.06,603,180,194,122,8.5,28.5,0.4,0.37,3.4,0.3,166,29,1.5,0.3,0.76
G035.20-01.74,35.2,-1.74,2,713,7129,13,11.8,19,10.5,1.74,0.12,4,101,21,11,2,,,,1.6,0.3,16,14,1.4,1.2,0.06
G037.79-00.11,37.79,-0.11,1.3,1768,17348,27,28.5,19.7,11.3,1.9,0.1,184,157,61,18,3.4,25.5,2.8,0.35,2,0.8,49,29,1.3,0.8,0.36
G040.52+02.53,40.52,2.53,0.6,231,237,2.4,0.5,20.6,21,1.67,0.15,9,37,1,4.1,0.2,,,,2.7,0.8,1.1,4.9,0.3,1.3,0.09
G043.20-00.10,43.2,-0.1,1.1,1433,14100,18.4,15.1,19.4,11.1,1.88,0.09,187,74,50.5,9.4,5.4,26,2.2,1.23,1.9,0.6,39,12,1.8,0.6,0.37
G045.47+00.06,45.47,0.06,1.8,748,770,9.1,0.6,21.4,20.4,1.63,0.07,97,67,39.1,6.6,5.9,27.3,0.8,0.8,3.3,0.3,33.4,39.5,2.2,0.7,0.75
G053.63+00.19,53.63,0.19,1.9,625,649,5.9,0.6,20.4,20.4,1.7,0.07,44,38,17,4.6,3.7,27,1.1,0.57,2.5,0.3,14.2,16.1,1.6,0.7,0.3
G059.42-00.21,59.42,-0.21,1.1,294,227,6.8,2.3,18.3,11.2,1.92,0.12,-26,22,18,2.6,7,26.8,1.3,0.37,1.3,0.5,14.6,13.9,2.6,0.8,0.71
G061.47+00.11,61.47,0.11,1.2,328,323,2.4,0.8,21.8,21.6,1.59,0.12,4,22,4.7,2.5,1.9,,,,3.7,1.7,3.9,3.8,0.8,0.7,0.58
G062.98+00.05,62.98,0.05,1.2,201,214,3.5,1.1,18.9,11.1,1.82,0.1,38,12,9.8,1.3,7.5,25.7,2.5,0.25,1.6,0.6,8.1,2,2.3,0.7,1.45
G068.16+01.02,68.16,1.02,0.8,187,113,0.9,0.2,20.6,20.9,1.89,0.2,40,12,0,0,,,,,2.7,0.7,0,2,0,1.2,0.22
G071.59+02.85,71.59,2.85,1,286,251,2,1.2,19.9,12.5,1.75,0.24,-5,34,9.2,5,1.8,,,,2.2,1.6,7.8,6.3,3,2.5,0.06
G075.81+00.39,75.81,0.39,0.7,423,450,4.4,0.7,19.3,10.7,1.72,0.08,118,36,12.4,4.9,2.5,26.8,1.3,1.07,1.8,0.4,9,6.1,2,1.4,0.11
G076.38-00.62,76.38,-0.62,2,138,142,1.8,0.8,20.8,22.3,2.2,0.36,52,39,0,0,,,,,2.8,1.9,2.2,8.1,0.4,1.5,0.35
G081.59+00.01,81.59,0.01,1,3726,37304,7.1,2,24.1,21.6,1.67,0.1,140,139,32,25,1.3,,,,6.9,2.7,25,29,0.8,1,0.21
G093.02+02.76,93.02,2.76,0.8,614,649,2.9,0.3,20.4,20.4,1.58,0.09,-23,35,5.9,3.8,1.6,,,,2.5,0.3,4.7,4.7,1.1,1.2,0.18
G094.47-01.53,94.47,-1.53,0.8,270,233,0.6,0.3,20.9,22.6, , ,-3,23,1.5,2.4,0.6,,,,2.9,2.2,1.3,3,1,2.5,0.07
G098.00+01.47,98,1.47,0.5,155,114,0.9,0.3,19.2,11.2,1.73,0.12,5,9,7.6,1.2,6.1,35.1,6.3,0.47,1.8,0.7,6.1,1.6,6.3,1.9,0.46
G099.60+03.70,99.6,3.7,2,544,524,0.6,0.2,21.5,21.4,2.09,0.22,-41,16,1.4,2.3,0.6,,,,3.4,1.4,0.1,2.3,0.1,1.3,0.33
G102.88-00.69,102.88,-0.69,0.6,372,327,1.3,0.3,20.7,20.9,1.64,0.13,-60,17,5.4,2.1,2.5,32.3,3.9,0.02,2.7,0.7,4.6,2.7,2.1,1.3,0.38
G107.20+05.20,107.2,5.2,1,258,219,3,0.3,20.2,20.4,1.87,0.08,59,17,16.3,1.6,9.9,29.2,1.1,1.03,2.4,0.3,13.9,12.1,2.7,0.5,0.94
G109.01+00.00,109.01,0,1.1,51,11,1.3,0.4,19.5,11.1,1.81,0.16,-18,9,3.7,2.4,1.5,,,,1.9,0.6,2.3,1.9,1.4,1.2,0.1
G110.25+02.58,110.25,2.58,0.8,296,223,1,0.3,25.6,22.1,1.52,0.1,-42,18,6.9,2,3.4,40,40,5.41,9.7,4.7,4.5,2.8,0.8,0.5,0.24
G118.09+04.96,118.09,4.96,0.8,1295,1222,1.4,0.1,24,20.4,1.81,0.09,26,16,0,0,,,,,6.6,0.7,-1.1,-3.5,-0.2,-0.5,0.49
G123.13-06.27,123.13,-6.27,0.4,182,113,0.7,0.1,20.5,20.4,1.65,0.09,11,6,2,1.1,1.8,,,,2.6,0.3,1.5,1.1,1.4,1.1,0.37
G133.27+09.05,133.27,9.05,1.3,25,3,4.5,0.3,14.5,10.2,1.83,0.06,8,8,3.4,0.4,8.5,24.3,4.1,0.08,0.32,0.03,2.7,0.9,6.2,2.2,0.13
G133.74+01.22,133.74,1.22,0.6,2155,21116,3.3,0.8,25.3,21.5,1.67,0.08,53,56,14.8,9.8,1.5,,,,9.2,3.3,10,10,0.5,0.5,0.97
G142.35+01.35,142.35,1.35,1.9,0,10,4.4,1.3,16.8,10.9,1.76,0.1,37,10,6.7,0.7,9.5,24.8,3.5,0.07,0.8,0.3,5.3,2.1,3.6,1.5,0.45
G151.62-00.28,151.62,-0.28,1,348,330,1.3,0.1,21,20.4,1.38,0.08,8,23,3.6,2.3,1.5,,,,3,0.3,2.8,2.9,1.5,1.6,0.21
G158.40-20.60,158.4,-20.6,2,0,11,3.6,0.2,15.5,10.1,1.74,0.06,56,11,5.3,0.3,16.3,26.6,1.6,0.26,0.49,0.03,4.4,1.3,6.9,2.2,1.69
