wavelength	cirrus spectrum
5.2172	0.015000
5.2475	0.0073840
5.2777	0.018700
5.3080	0.014340
5.3382	0.012060
5.3685	0.012220
5.3987	0.012550
5.4289	0.015800
5.4592	0.012180
5.4894	0.0094670
5.5197	0.014160
5.5499	0.010550
5.5802	0.013800
5.6104	0.014580
5.6406	0.019190
5.6709	0.020280
5.7011	0.022330
5.7314	0.024240
5.7616	0.019420
5.7918	0.016380
5.8221	0.022740
5.8523	0.019150
5.8826	0.025440
5.9128	0.025750
5.9430	0.035740
5.9733	0.033090
6.0035	0.044080
6.0338	0.047580
6.0640	0.038920
6.0943	0.036870
6.1245	0.059290
6.1547	0.077070
6.1850	0.10700
6.2152	0.13480
6.2455	0.13750
6.2757	0.11800
6.3060	0.097730
6.3362	0.071180
6.3664	0.072100
6.3967	0.063990
6.4269	0.060530
6.4572	0.052110
6.4874	0.052690
6.5177	0.053470
6.5479	0.046150
6.5781	0.038640
6.6084	0.040590
6.6386	0.048070
6.6689	0.043450
6.6991	0.038330
6.7294	0.043760
6.7596	0.045210
6.7898	0.047540
6.8201	0.045900
6.8503	0.050780
6.8806	0.051720
6.9108	0.050620
6.9410	0.049910
6.9713	0.052840
7.0015	0.065280
7.0318	0.068720
7.0620	0.063330
7.0922	0.065360
7.1225	0.066370
7.1527	0.070400
7.1830	0.078740
7.2132	0.080190
7.2435	0.078120
7.2737	0.081930
7.3039	0.080060
7.3342	0.094560
7.3644	0.10250
7.3947	0.12340
7.4249	0.12840
7.4552	0.13460
7.4854	0.14430
7.5156	0.16220
7.5459	0.18570
7.5761	0.19810
7.6064	0.20350
7.6366	0.19400
7.4854	0.17420
7.5459	0.19300
7.6064	0.21470
7.6669	0.22760
7.7273	0.22260
7.7878	0.21060
7.8483	0.20860
7.9088	0.19520
7.9693	0.17440
8.0297	0.15520
8.0902	0.13560
8.1507	0.11630
8.2112	0.10730
8.2717	0.10320
8.3322	0.10300
8.3926	0.10160
8.4531	0.10080
8.5136	0.10780
8.5741	0.11080
8.6346	0.11540
8.6951	0.10500
8.7556	0.085730
8.8160	0.067170
8.8765	0.053400
8.9370	0.041700
8.9975	0.040340
9.0580	0.038410
9.1185	0.032800
9.1789	0.029010
9.2394	0.029720
9.2999	0.029020
9.3604	0.028340
9.4209	0.028310
9.4814	0.028430
9.5418	0.029500
9.6023	0.029800
9.6628	0.031320
9.7233	0.032240
9.7838	0.028180
9.8443	0.028730
9.9047	0.030270
9.9652	0.030760
10.026	0.031980
10.086	0.032600
10.147	0.032840
10.207	0.029040
10.268	0.021460
10.328	0.020810
10.389	0.018610
10.449	0.023010
10.510	0.030340
10.570	0.043270
10.630	0.049070
10.691	0.050400
10.752	0.052990
10.812	0.055610
10.873	0.056640
10.933	0.063750
10.993	0.073220
11.054	0.088020
11.114	0.097600
11.175	0.12690
11.235	0.18280
11.296	0.21740
11.356	0.19770
11.417	0.16950
11.477	0.14360
11.538	0.12530
11.598	0.11540
11.659	0.10600
11.719	0.10200
11.780	0.10250
11.840	0.10690
11.901	0.11280
11.961	0.12330
12.022	0.12900
12.082	0.12850
12.143	0.12700
12.203	0.12830
12.264	0.13460
12.324	0.14560
12.385	0.15410
12.445	0.16070
12.505	0.16290
12.566	0.17170
12.627	0.18580
12.687	0.19930
12.748	0.21540
12.808	0.25810
12.868	0.27840
12.929	0.18840
12.989	0.13340
13.050	0.12600
13.110	0.12260
13.171	0.12190
13.231	0.12370
13.292	0.12300
13.352	0.12000
13.413	0.11930
13.473	0.12200
13.534	0.12100
13.594	0.11990
13.655	0.11780
13.715	0.11050
13.776	0.10730
13.836	0.10630
13.897	0.10320
13.957	0.10530
14.018	0.10330
14.078	0.10730
14.139	0.10360
14.199	0.10940
14.260	0.11470
14.320	0.11010
14.380	0.10560
14.384	0.11200
14.469	0.10900
14.553	0.10810
14.638	0.10830
14.722	0.10670
14.807	0.10560
14.892	0.10510
14.977	0.10510
15.061	0.10510
15.146	0.10640
15.231	0.10940
15.315	0.11020
15.400	0.11560
15.485	0.12740
15.569	0.12620
15.654	0.12000
15.739	0.11760
15.823	0.12210
15.908	0.12700
15.993	0.12630
16.077	0.12530
16.162	0.12800
16.247	0.14220
16.331	0.16870
16.416	0.18430
16.501	0.17400
16.585	0.16350
16.670	0.16380
16.755	0.16570
16.839	0.17250
16.924	0.19010
17.009	0.22610
17.094	0.20730
17.178	0.17750
17.263	0.17640
17.347	0.17760
17.432	0.17010
17.517	0.15640
17.601	0.14690
17.686	0.14640
17.771	0.14630
17.856	0.14650
17.940	0.13640
18.025	0.13160
18.110	0.13230
18.194	0.13020
18.279	0.12960
18.364	0.13190
18.448	0.13110
18.533	0.13660
18.618	0.17360
18.702	0.23470
18.787	0.23670
18.872	0.15330
18.956	0.15060
19.041	0.15130
19.126	0.14350
19.210	0.13980
19.295	0.13740
19.380	0.14280
19.464	0.14910
19.549	0.14820
19.634	0.15080
19.719	0.14450
19.803	0.14100
19.888	0.15310
19.972	0.14680
20.057	0.14340
20.142	0.14710
20.226	0.14660
20.311	0.14940
20.396	0.15680
20.480	0.15370
20.565	0.15170
20.650	0.14620
20.735	0.16610
20.819	0.16150
20.904	0.15420
20.989	0.13510
21.073	0.15670
21.158	0.15670
21.243	0.13970
21.327	0.13520
20.565	0.15770
20.735	0.17220
20.904	0.15280
21.073	0.14980
21.243	0.15890
21.412	0.16800
21.581	0.16180
21.751	0.15940
21.920	0.17220
22.089	0.18310
22.259	0.17270
