ln(Md [kg/m2/sr]),sigma(ln(Md)),ln(<U> [Habings]),sigma(ln(<U>)),qPAH,sigma(qPAH),reduced chi-square
-18.2643975019,0.3874301107,-1.0907972488,0.3896121909,0.0674195906,0.0370714607,0.1793912401
-17.7428467394,0.211686071,-1.6394262429,0.1938690697,0.0608068176,0.01375103,1.075281614
-15.4330449987,0.3478614271,0.4837189323,0.3414300361,0.1191979328,0.0246646336,0.8119172707
-15.1394951496,0.1973909725,0.7988472637,0.1890444193,0.0847592741,0.012608539,1.7316198033
-14.865312028,0.1803983084,0.5988401815,0.1677154298,0.0866486908,0.014510172,1.4917189876
-15.4002387406,0.3015939443,1.6745970009,0.2905012231,0.0742700203,0.0241063619,2.2188485712
-16.4826985501,0.5022601483,1.4768091345,0.4865273301,0.0921480265,0.0358516708,0.8496501919
-16.9343544903,0.3004284189,-2.1398930368,0.2854140317,0.117004278,0.0206298522,2.7436405668
-16.3662966291,0.2748121016,0.5980028075,0.273696578,0.1152922584,0.0089224501,3.1203222074
-14.8452700111,0.156024943,1.1871238976,0.1457813387,0.0885399938,0.0111480108,1.9486853086
-15.7794638476,0.383368174,-0.1361418475,0.3845560631,0.0938388254,0.0231026367,0.4616629604
-15.3943312164,0.1978590179,0.5111239163,0.1813462397,0.0930000659,0.0150744899,0.9154205097
-18.3563388937,1.1487667218,1.2381381474,1.1111643194,0.0928113059,0.0328313,0.3432291959
-15.9827555706,0.384201846,0.6613314391,0.3744304411,0.0793649409,0.0163127584,1.2254907568
-16.3177343269,0.4229437984,0.5340217492,0.4045929866,0.0933114409,0.0322581392,0.7250887402
-16.5666952162,0.387273599,0.3677250331,0.3803646253,0.1217108696,0.0204116799,0.437925707
-16.5170461511,0.2589222743,-0.0172685863,0.2461300543,0.1509574655,0.0182313543,0.7454830385
-18.4770695473,0.3805457081,1.8393061543,0.3657527206,0.0813843887,0.0152929079,2.080063362
-17.867796068,0.3906344194,0.5690661192,0.3756273855,0.1412077923,0.0225462531,0.4545906013
-18.5431492683,0.4822437023,0.5229145761,0.4445534594,0.0917349272,0.0440999116,0.4422600683
-17.4897707344,0.4618195674,0.1843540273,0.4498284057,0.1805866226,0.0371653556,0.1977169299
-16.8217101038,0.4554228481,0.4336682281,0.458603767,0.0999208095,0.0273702133,0.6497755356
-18.5505419321,0.5851839974,2.1482226337,0.5599788205,0.0865137453,0.0197222347,0.8307760094
-16.2181590822,0.3337701249,1.3920978424,0.3296275227,0.0792118933,0.0128369018,1.2773907466
-17.4145746822,0.3798035323,0.6416165278,0.3693134671,0.0839666184,0.0143016107,0.6535453311
-18.8668598754,1.2284422271,0.8017690191,1.1778336232,0.265576177,0.0470014376,1.7461590143
-18.5013122261,0.4144705682,0.5711884413,0.4013149947,0.1004545722,0.0140117062,0.7708063154
-18.8741997062,0.9001667916,0.8185256102,0.9064083281,0.067257499,0.0196196173,0.2443720926
-18.5343649963,0.4598783121,1.0757913669,0.444207607,0.1021729441,0.0176623555,0.5111798264
-17.1918147669,0.2082152002,0.8008447406,0.200016828,0.134321465,0.0144597676,1.0057488105
-17.4981856334,0.414205534,-0.3636231881,0.4059792492,0.1380631373,0.0326711249,0.7978681388
-17.7409516076,0.2671797029,1.4620732854,0.2579535056,0.1052418145,0.0104541731,2.2016302716
-18.2848900686,0.1746459257,2.1306211845,0.1627399553,0.0644193197,0.0109726822,1.3109794147
-18.535004999,0.2033498769,0.662240009,0.1973024322,0.1152554506,0.0097366877,0.8113369353
-16.7200754797,0.2516756952,-2.1677405325,0.2290628408,0.0708415575,0.0236361801,0.3976491451
-17.2242204847,0.2027920002,2.0586173174,0.1925312428,0.0829050588,0.0101933032,3.8047047832
-16.9109121656,0.2874550351,-0.6585564714,0.2639333634,0.1722014135,0.0293343421,0.7464872841
-17.3383971932,0.2938798544,0.0003617149,0.2893020959,0.0957151005,0.0110006904,1.8143864516
-16.6205827283,0.2557195878,-1.7180475741,0.2447656935,0.0737530985,0.0146238452,0.9203174127
-16.8760683331,0.1937883184,-0.003039564,0.1851107631,0.1589564126,0.013168391,1.3897880363
-19.6828914319,0.206582682,1.8656175358,0.1981947203,0.1463972608,0.0179736465,0.8086416057
-18.9911173596,0.1137093525,1.5150801474,0.1113184773,0.266007862,0.0187708303,2.5697124798
-19.1527244815,0.4227735209,1.1552630505,0.41361124,0.0339907857,0.0108291747,0.8796121219
-16.7143167369,0.196366807,-0.1087597955,0.187700284,0.1330617092,0.0101696115,2.1429083493
-18.1923120031,0.4476158076,-0.4856595476,0.4348181708,0.1588579117,0.0161504944,0.9720151722
-17.2052377266,0.4029528604,-1.2220712245,0.394493515,0.1720615101,0.024044754,0.3334422785
-17.0800513408,0.1996692798,0.3881772142,0.1905665876,0.129509173,0.0114308177,2.0647258718
-17.4760408049,0.2529769114,-0.76902088,0.2322214146,0.1533615015,0.0381861833,0.8709158748
-18.2333314858,0.3268122129,0.8439826469,0.3204128129,0.136121086,0.0114134592,3.267736196
-18.1274133588,0.3992769187,0.0145794017,0.3760994527,0.1429837554,0.0264241633,0.672594851
-16.633304837,0.2117577807,-0.8305404163,0.1933166446,0.120878153,0.0139627328,1.0878454357
-17.3421022966,0.2096039882,-1.3262218884,0.1950029426,0.1126358948,0.0320277062,0.5863819542
-18.3026162284,0.3920245448,-0.1454391379,0.3517726488,0.1733335756,0.0346225288,0.3019619621
-15.8087248995,0.1505903157,1.9964396307,0.1468304909,0.0864591908,0.0079203108,10.3314153094
-18.4251656229,0.2139825973,0.5538672992,0.2021639866,0.1104889766,0.0105491797,1.1830708981
-17.3162149796,0.2016861004,0.8136351186,0.1922371511,0.0616259775,0.0068533772,4.8669353454
-17.7310924022,0.2639708396,-0.4059808614,0.2471316417,0.1231853866,0.0161378068,0.7295425296
-17.5109343746,0.2056308202,-0.9951346877,0.1880036955,0.1505598917,0.0154668088,0.8457134505
-17.2168339159,0.2496075854,-1.6144281662,0.2280996368,0.1518697359,0.0288886381,0.4069501655
-17.1374368039,0.2232444116,-0.3379369446,0.2088645489,0.147760066,0.0128703084,0.5297740794
-17.1686395604,0.4749385447,-1.1587463019,0.4616769765,0.3250092741,0.0314909164,24.1107503087
-19.9961180067,0.4527062417,2.0423689626,0.4263496503,0.1502474486,0.014122072,1.4858180415
-18.2562375805,0.1699397695,-0.6700922562,0.1562597689,0.2201024577,0.0246314996,1.5466826802
-17.0994452895,0.2350758349,-0.0496126414,0.2223829734,0.1844551445,0.016147114,1.447369215
-18.7574694204,0.1738247649,-0.5469228538,0.1628181213,0.1326703271,0.0253305018,0.6470095011
-16.8608770563,0.2753893519,-0.6364350749,0.2537722092,0.1242280176,0.0225546147,0.3294053373
-16.1107514569,0.5401713356,-0.306011211,0.5430650624,0.1007578939,0.0120086751,3.2989645245
-17.4090827534,0.2531663436,2.4123179765,0.2421454576,0.076196894,0.0093092173,2.1020977713
-16.9702849719,0.4234256999,-0.3449284133,0.4088581222,0.1068202962,0.0227228371,0.5860713571
-19.7409421935,0.4144150589,2.7867630186,0.3939207312,0.0767905364,0.016170018,2.1490994955
-16.1704537079,0.2889115751,0.6050127618,0.2824689885,0.0788866132,0.0114591332,1.0876724613
-16.6681222352,0.2550892777,2.1027264239,0.243738808,0.0804801507,0.0146876792,2.8201143887
-16.8495113441,0.6340731636,2.7956656968,0.6329350083,0.1527715081,0.0086161166,12.6292068419
-17.5653199606,0.5742059096,1.6723167762,0.559948234,0.0886817019,0.0194477357,0.6046282552
-17.4027046035,1.1020116476,2.5696614849,1.0291279533,0.0992296622,0.0083910125,5.7434133543
-18.1786681114,1.9288839512,-1.6537325686,1.8943400795,0.2077529529,0.0474482766,0.5192933265
-17.4552137186,0.5323793142,1.5392835969,0.5174786979,0.0939513305,0.0210595187,0.4172537824
-16.8322868561,0.263575079,1.5821315216,0.249109913,0.075004063,0.0192838262,2.0452439745
-16.3618504162,0.2095741867,2.0834704858,0.1947173472,0.0741383052,0.0207082479,3.7963568289
-15.5692183878,0.3448461278,0.837426589,0.3419612417,0.0988972812,0.0164996293,1.0220279828
-15.8840305593,0.3391231578,1.123299712,0.3230622672,0.0903661845,0.0194078754,2.0602221628
-17.1783116888,0.3203696038,-0.6987481142,0.3158363028,0.1569548439,0.0351156332,0.5828430882
-16.0929681625,0.217107802,0.9522639034,0.2073275476,0.1036161713,0.0154866078,1.8389006173
-17.8483600834,1.1271116003,1.1527438079,1.0780684698,0.0909282168,0.0560132797,0.7323142404
-16.3291016864,0.6788504024,1.7343229689,0.6564135409,0.0573064912,0.019147488,1.1575463627
-15.1729455019,0.2596952875,1.2837308357,0.2616176691,0.0715111182,0.0112918634,1.4152223555
-15.1561295854,0.3129443399,0.2267580355,0.3105772894,0.0819718136,0.0176586154,0.7301339156
-19.3887519282,0.3068308256,-0.1549767772,0.3277260883,0.1650808807,0.0312059708,0.3420025761
-16.616900691,0.5562825328,1.3262350499,0.5276131047,0.0883472283,0.0274503566,0.8789878725
-16.3352970515,0.6417126609,1.3515305609,0.6362349311,0.0618612522,0.0251288308,0.8275425197
-16.2034101039,0.6789076724,2.0342909102,0.6721572901,0.0598271142,0.0147317098,1.4921224318
-19.176771252,1.0261211731,2.6221844564,1.0149809425,0.0468261804,0.0180368267,0.9445243989
